Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Age
regular unleaded,126.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,14499,11
regular unleaded,126.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,15099,11
regular unleaded,126.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,15999,11
regular unleaded,126.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,15399,11
regular unleaded,126.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,14699,11
regular unleaded,126.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,15799,11
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,16349,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,14899,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,15399,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,15099,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,16499,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,15449,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,13999,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,14349,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,16049,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,14499,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,14949,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,15999,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,16949,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,15249,10
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,15849,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,15599,10
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,15589,9
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,16489,9
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,17689,9
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,27,19,481,16989,9
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,16089,9
regular unleaded,127.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,28,19,481,16789,9
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,14489,9
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,15889,9
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,28,20,481,14989,9
regular unleaded,127.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,27,19,481,15389,9
premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,23,640,33095,2
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,25095,2
regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Midsize,4dr SUV,29,22,640,24595,2
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,28095,2
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,30095,2
regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Midsize,4dr SUV,29,22,640,22195,2
premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,23,640,28495,2
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,23195,2
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,28795,1
regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Midsize,4dr SUV,29,22,640,25295,1
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,23395,1
premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,23,640,29195,1
regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Midsize,4dr SUV,29,22,640,22395,1
premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,28,23,640,33795,1
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,25795,1
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,24,640,30795,1
premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,27,23,640,34295,0
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,26,640,25995,0
premium unleaded (required),250.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,27,23,640,29295,0
regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Midsize,4dr SUV,28,22,640,25495,0
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,26,640,29195,0
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,26,640,31295,0
regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,32,26,640,23595,0
regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Midsize,4dr SUV,28,22,640,22595,0
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,34,25,1720,19590,2
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,36,25,1720,19390,2
regular unleaded,173.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,33,24,1720,18590,2
regular unleaded,201.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29,21,1720,20890,2
regular unleaded,201.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,29,21,1720,21890,2
regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,39,26,1720,17490,2
regular unleaded,145.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,25,1720,15890,2
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,33,25,1720,19690,2
regular unleaded,201.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,22,1720,20590,2
regular unleaded,201.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,30,22,1720,21590,2
regular unleaded,201.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,22,1720,20690,1
regular unleaded,145.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,37,25,1720,15990,1
regular unleaded,201.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,29,21,1720,21990,1
regular unleaded,201.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,30,22,1720,21690,1
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,33,25,1720,18090,1
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,33,25,1720,20390,1
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Coupe,34,25,1720,19890,1
regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,39,26,1720,17700,1
regular unleaded,201.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29,21,1720,20990,1
regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,35,24,1720,19990,1
regular unleaded,147.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,38,29,1720,17500,0
regular unleaded,147.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,38,29,1720,19200,0
regular unleaded,164.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,33,25,1720,21200,0
regular unleaded,147.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,34,25,1720,16490,0
regular unleaded,164.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,25,1720,18090,0
regular unleaded,201.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,29,23,1720,25890,0
regular unleaded,201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,30,25,1720,23690,0
regular unleaded,164.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,34,25,1720,21990,0
regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,30,22,873,2000,26
regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,22,873,2000,26
regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,22,873,2000,25
regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,30,22,873,2000,25
regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,30,22,873,2000,24
regular unleaded,81.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,30,22,873,2000,24
regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,30,22,873,2000,24
premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,24700,3
premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,105,28500,3
premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,27400,3
premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,105,25800,3
premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,105,31090,2
premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,105,26000,2
premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,24900,2
premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,29990,2
premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,25305,1
premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,105,30610,1
premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,30,22,105,29510,1
premium unleaded (required),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,34,25,105,26405,1
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,15,258,24975,14
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,2dr SUV,19,15,258,26370,14
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,15,258,31575,14
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,15,258,27775,14
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,2dr SUV,19,16,258,26330,13
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,16,258,28330,13
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,16,258,25330,13
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,4.0,Compact,4dr SUV,19,16,258,26830,12
regular unleaded,174.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,2dr SUV,19,16,258,26830,12
regular unleaded,193.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Cargo Minivan,22,16,5657,19650,11
regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,15,5657,29575,11
regular unleaded,193.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,22,16,5657,23655,11
regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,15,5657,26615,11
regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,15,5657,26665,10
regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,15,5657,23705,10
regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Passenger Minivan,21,15,5657,29575,10
regular unleaded,201.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Cargo Minivan,21,15,5657,19700,10
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,28440,12
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,30440,12
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,25040,12
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,26840,12
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,26440,12
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,28240,12
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,28355,11
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,26505,11
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,25105,11
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,30580,11
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,26955,11
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,28530,11
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,27770,10
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,29205,10
regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Wagon,22,17,5657,31055,10
regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Wagon,25,18,5657,25920,10
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,32560,2
regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,17,2009,20660,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,25510,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,34010,2
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,31510,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,32560,2
regular unleaded,261.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,25860,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,26450,2
regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,17,2009,23020,2
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,21,16,2009,27240,2
regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,17990,2
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Extended Cab Pickup,21,16,2009,30550,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,16,2009,24190,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,23750,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,28050,2
regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,21970,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,31360,2
regular unleaded,261.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,16,2009,24540,2
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,25400,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,25350,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,16,2009,23610,2
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,28560,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,26310,2
regular unleaded,261.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,22700,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,35260,2
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,24630,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,27630,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,31750,2
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,26750,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,25840,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,32890,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,24050,1
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,31840,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,24960,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,26640,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,35590,1
regular unleaded,261.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,17,2009,23000,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,32080,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,34360,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,28380,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,25680,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,16,2009,23940,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,16,2009,24520,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,31690,1
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,28910,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,35610,1
regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,18290,1
regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,17,2009,23230,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,34340,1
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,28890,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,31710,1
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,27960,1
regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,17,2009,20960,1
regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,22180,1
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,23,16,2009,25750,0
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,32340,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,27320,0
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,23,16,2009,26470,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,27650,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,29170,0
regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,18390,0
regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,17,2009,22160,0
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,23,16,2009,24950,0
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,23,16,2009,26630,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,33390,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,35160,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,28750,0
regular unleaded,152.0,4.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,22,17,2009,23910,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Extended Cab Pickup,21,15,2009,32580,0
regular unleaded,261.0,6.0,MANUAL,four wheel drive,4.0,Compact,Crew Cab Pickup,21,16,2009,29700,0
regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,Compact,Crew Cab Pickup,21,15,2009,36410,0
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,16,2009,25200,0
regular unleaded,261.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Crew Cab Pickup,22,16,2009,23900,0
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,16,2009,24620,0
regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4.0,Compact,Crew Cab Pickup,23,16,2009,32510,0
regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Extended Cab Pickup,23,19,2009,22860,0
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,44,5657,27380,2
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,44,5657,26575,2
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,44,5657,32330,2
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,44,5657,31430,1
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,44,5657,26480,1
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,44,5657,25675,1
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,43,5657,37020,0
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,43,5657,31010,0
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,43,5657,25675,0
regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,41,43,5657,26480,0
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,22,5657,27830,2
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,22,5657,32780,2
regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,22,5657,24035,2
regular unleaded,231.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,33,22,5657,30780,2
regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,22,5657,22500,2
regular unleaded,231.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,33,22,5657,31270,1
regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,22,5657,22750,1
regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,22,5657,24320,1
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,22,5657,33270,1
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,31,22,5657,28115,1
regular unleaded,231.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,21,5657,30610,0
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,20,5657,27405,0
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,20,5657,32610,0
regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,32,21,5657,22610,0
regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,32,21,5657,23610,0
regular unleaded,231.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,31,21,5657,36620,0
regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,20,5657,38620,0
premium unleaded (required),275.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr SUV,20,15,190,39550,9
